id,year_start,year_end,year_label,era,area_code,region,category,title,importance,summary,wiki,lat,lon
1,-1813,-1813,BC1813,先史,MESO,アッシリア,WAR,シャムシ・アダド1世 アッシリア征服,3,,シャムシ・アダド1世,35.46,43.26
2,-1285,-1285,BC1285,先史,LEV,シリア,WAR,カデシュの戦い,3,ヒッタイト対エジプト・史上初の和平条約,カデシュの戦い,34.57,36.51
3,-1200,-1190,BC1200〜BC1190,先史,ANAT,トロイア,WAR,トロイア戦争,4,ホメロスが描いた伝説的な攻城戦,トロイア戦争,39.96,26.24
4,-597,-597,BC597,古代,LEV,ユダ王国,WAR,エルサレム陥落 バビロン捕囚,4,ネブカドネザル2世,バビロン捕囚,31.78,35.22
5,-492,-449,BC492〜BC449,古代,GRC,ギリシア,WAR,ペルシア戦争,4,サラミスの海戦(BC480),ペルシア戦争,37.96,23.57
6,-490,-490,BC490,古代,GRC,ギリシア,WAR,マラトンの戦い,4,アテネがペルシア軍を撃退,マラトンの戦い,38.15,23.96
7,-480,-480,BC480,古代,GRC,ギリシア,WAR,サラミスの海戦,5,ギリシア連合艦隊がペルシアを破る,サラミスの海戦,37.96,23.57
8,-480,-480,BC480,古代,GRC,ギリシア,WAR,テルモピュライの戦い,4,スパルタ軍がペルシア大軍を迎撃,テルモピュライの戦い,38.80,22.54
9,-479,-479,BC479,古代,GRC,ギリシア,WAR,プラタイアの戦い,4,ギリシア連合軍がペルシア陸軍を撃破,プラタイアの戦い,38.22,23.27
10,-431,-404,BC431〜BC404,古代,GRC,ギリシア,WAR,ペロポネソス戦争,3,アテネ対スパルタ,ペロポネソス戦争,37.98,23.73
11,-338,-338,BC338,古代,GRC,ギリシア,WAR,カイロネイアの戦い,4,マケドニアがギリシア諸都市を制圧,カイロネイアの戦い,38.49,22.85
12,-334,-323,BC334〜BC323,古代,GRC,マケドニア,WAR,アレクサンドロス東方遠征,5,ヘレニズム時代の幕開け,アレクサンドロス3世,40.76,22.52
13,-333,-333,BC333,古代,ANAT,アナトリア,WAR,イッソスの戦い,4,アレクサンドロスがダレイオス3世を破る,イッソスの戦い,36.85,36.17
14,-331,-331,BC331,古代,MESO,メソポタミア,WAR,ガウガメラの戦い,5,アケメネス朝崩壊を決定づけた決戦,ガウガメラの戦い,36.36,43.25
15,-264,-146,BC264〜BC146,古代,ITA,ローマ,WAR,ポエニ戦争,4,ローマ対カルタゴ・地中海制覇,ポエニ戦争,36.85,10.32
16,-260,-260,BC260,古代,CHN,中国,WAR,長平の戦い,4,秦が趙を破り統一の道を開く,長平の戦い,35.80,112.90
17,-216,-216,BC216,古代,ITA,イタリア,WAR,カンナエの戦い,5,ハンニバルの包囲殲滅戦の代表例,カンナエの戦い,41.31,16.13
18,-209,-208,BC209〜BC208,古代,CHN,中国,WAR,陳勝呉広の乱,4,中国史上初の大規模農民反乱,陳勝・呉広の乱,33.63,116.97
19,-207,-207,BC207,古代,CHN,中国,WAR,鉅鹿の戦い,4,項羽が秦の主力軍を撃破,鉅鹿の戦い,37.35,115.02
20,-202,-202,BC202,古代,CHN,中国,WAR,垓下の戦い,4,劉邦が項羽を破り漢を建国,垓下の戦い,33.43,117.55
21,-202,-202,BC202,古代,AFR_E,北アフリカ,WAR,ザマの戦い,5,スキピオがハンニバルを破る,ザマの戦い,36.30,9.50
22,-73,-71,BC73〜BC71,古代,ITA,ローマ,WAR,スパルタクスの反乱,4,剣闘士奴隷による大規模反乱,スパルタクスの反乱,40.82,14.43
23,-58,-50,BC58〜BC50,古代,EUR_W,ガリア,WAR,ガリア戦争,4,カエサルがガリア全土を征服,ガリア戦争,47.04,4.30
24,-48,-48,BC48,古代,GRC,ギリシア,WAR,ファルサルスの戦い,4,カエサルがポンペイウスを破る,ファルサルスの戦い,39.29,22.38
25,-31,-31,BC31,古代,GRC,ギリシア,WAR,アクティウムの海戦,5,オクタウィアヌスがアントニウスを破る,アクティウムの海戦,38.93,20.76
26,9,9,9,古代,EUR_C,ゲルマニア,WAR,トイトブルク森の戦い,4,ゲルマン人がローマ3個軍団を全滅,トイトブルク森の戦い,52.41,8.13
27,18,27,18〜27,古代,CHN,中国,WAR,赤眉の乱,3,新を倒した農民反乱,赤眉の乱,36.67,117.02
28,184,184,184,古代,CHN,中国,WAR,黄巾の乱,3,後漢衰退の引き金,黄巾の乱,35,114.5
29,200,200,200,古代,CHN,中国,WAR,官渡の戦い,4,曹操が袁紹を破り華北を制覇,官渡の戦い,34.72,114.02
30,208,208,208,古代,CHN,中国,WAR,赤壁の戦い,5,曹操が孫劉連合に敗れ三国分立,赤壁の戦い,29.84,113.62
31,291,306,291〜306,古代,CHN,中国,WAR,八王の乱,3,皇族の内乱で五胡十六国へ,八王の乱,34.62,112.45
32,383,383,383,古代,CHN,中国,WAR,淝水の戦い,4,東晋が前秦の大軍を撃退,淝水の戦い,32.58,116.78
33,451,451,451,古代,EUR_W,ガリア,WAR,カタラウヌムの戦い,4,アッティラのフン軍を西欧連合が阻止,カタラウヌムの戦い,48.96,4.36
34,636,636,636,中世,LEV,シリア,WAR,ヤルムークの戦い,5,イスラムがビザンツからシリアを奪取,ヤルムークの戦い,32.72,35.95
35,636,636,636,中世,MESO,メソポタミア,WAR,カーディシーヤの戦い,4,アラブ軍がササン朝主力を撃破,カーディシーヤの戦い,31.90,44.50
36,642,642,642,中世,PER,イラン,WAR,ニハーヴァンドの戦い,4,アラブ軍が勝利しササン朝事実上滅亡,ニハーヴァンドの戦い,34.19,48.36
37,663,663,663,中世,KOR,朝鮮,WAR,白村江の戦い,4,唐新羅が倭百済連合を撃破,白村江の戦い,36.00,126.70
38,732,732,732,中世,EUR_W,フランク,WAR,トゥール・ポワティエ間の戦い,4,フランクがウマイヤ朝を撃退,トゥール・ポワティエ間の戦い,46.74,0.55
39,755,763,755〜763,中世,CHN,中国,WAR,安史の乱,5,唐衰退の契機となった大乱,安史の乱,34.27,108.95
40,955,955,955,中世,EUR_C,ドイツ,WAR,レヒフェルトの戦い,4,オットー1世がマジャル人を撃退,レヒフェルトの戦い,48.30,10.90
41,1066,1066,1066,中世,EUR_BR,イングランド,WAR,ノルマン・コンクェスト,3,,ノルマン・コンクエスト,50.91,0.49
42,1071,1071,1071,中世,ANAT,アナトリア,WAR,マラズギルトの戦い,4,セルジューク朝がビザンツ軍を撃破,マラズギルトの戦い,39.15,42.54
43,1096,1099,1096〜1099,中世,LEV,ヨーロッパ,WAR,第1回十字軍,4,東西交流とイスラムとの衝突,第1回十字軍,31.78,35.22
44,1126,1127,1126〜1127,中世,CHN,中国,WAR,靖康の変,4,金が北宋を滅ぼし南宋へ,靖康の変,34.80,114.31
45,1147,1149,1147〜1149,中世,LEV,シリア,WAR,第2回十字軍,3,ダマスカス攻略に失敗した遠征,第2回十字軍,33.51,36.29
46,1180,1185,1180〜1185,中世,JPN,日本,WAR,治承・寿永の乱,4,源平の争乱で平家滅亡,治承・寿永の乱,34.95,135.76
47,1187,1187,1187,中世,LEV,パレスチナ,WAR,ヒッティーンの戦い,4,サラディンが十字軍を破り聖地奪回,ヒッティーンの戦い,32.80,35.45
48,1189,1192,1189〜1192,中世,LEV,パレスチナ,WAR,第3回十字軍,4,リチャード1世とサラディンの攻防,第3回十字軍,32.45,34.89
49,1202,1204,1202〜1204,中世,EUR_E,地中海,WAR,第4回十字軍,4,コンスタンティノープルを略奪,第4回十字軍,41.01,28.98
50,1219,1221,1219〜1221,中世,PER,中央アジア,WAR,モンゴルのホラズム・シャー朝征服,4,モンゴルが中央アジアを席巻,モンゴルのホラズム・シャー朝征服,39.66,66.98
51,1241,1241,1241,中世,EUR_E,東欧,WAR,ワールシュタットの戦い,3,モンゴル軍が欧州連合軍を撃破,ワールシュタットの戦い,51.15,16.24
52,1274,1281,1274〜1281,中世,JPN,日本,WAR,元寇(文永・弘安の役),3,,元寇,33.6,130.36
53,1339,1453,1339〜1453,中世,EUR_W,英仏,WAR,百年戦争,4,国民国家形成の契機,百年戦争,47.9,1.9
54,1389,1389,1389,中世,EUR_E,バルカン,WAR,コソボの戦い,4,オスマンがセルビアを破る,コソボの戦い,42.69,21.10
55,1396,1396,1396,中世,EUR_E,バルカン,WAR,ニコポリスの戦い,4,オスマンが西欧十字軍を撃破,ニコポリスの戦い,43.71,24.89
56,1399,1402,1399〜1402,中世,CHN,中国,WAR,靖難の変,4,永楽帝が帝位を簒奪,靖難の変,32.06,118.80
57,1402,1402,1402,中世,ANAT,アナトリア,WAR,アンカラの戦い,4,ティムールがオスマン帝国を破る,アンカラの戦い,39.93,32.86
58,1410,1410,1410,中世,EUR_C,ポーランド,WAR,タンネンベルクの戦い,4,ポーランド連合軍がドイツ騎士団を破る,タンネンベルクの戦い (1410年),53.49,20.13
59,1419,1434,1419〜1434,中世,EUR_C,ボヘミア,WAR,フス戦争,4,フス派と神聖ローマ帝国の宗教戦争,フス戦争,50.08,14.43
